trial_id,controller,noise_std,seed,success,time_to_goal,path_length,efficiency,final_error,goal_x,goal_y
25,proportional,0.0,24,True,3.699999999999995,5.021972043001756,0.9696158470333411,0.14970372546099683,8.86704878116667,1.7778741489187575
26,rotate_translate,0.0,0,True,7.79999999999998,5.949999999999993,0.9863971454278062,0.13098010686213213,1.368761715425752,1.1487487197567618
27,rotate_translate,0.0,1,True,5.299999999999989,3.9999999999999964,0.9865014826950693,0.10956316540985703,5.606394622302311,9.554173266933418
28,rotate_translate,0.0,2,True,5.399999999999989,4.550000000000007,0.9860487749529488,0.14887488126938667,8.328031665348522,1.827243479215872
29,rotate_translate,0.0,3,True,6.299999999999986,4.349999999999979,0.9860578523043633,0.12849635845450844,1.7708425042926192,3.131294559364897
30,rotate_translate,0.0,4,True,4.049999999999994,3.9000000000000066,0.9960237538401887,0.10431534200921914,9.487504950151308,5.601947975329255
31,rotate_translate,0.0,5,True,4.6499999999999915,3.8500000000000156,0.9866436771818187,0.1022165556768462,8.245026313708422,8.271467107628443
32,rotate_translate,0.0,6,True,4.94999999999999,4.500000000000029,0.9863264889255879,0.1083290751411546,9.887004911678199,6.694806453464315
33,rotate_translate,0.0,7,True,4.699999999999991,3.6499999999999746,0.9860915376237055,0.14878430212995553,6.625859199442003,9.074924208726179
34,rotate_translate,0.0,8,True,6.149999999999986,4.600000000000009,0.9862925584126977,0.11682286805516379,3.9427504894500465,9.88549159004133
35,rotate_translate,0.0,9,True,4.3499999999999925,3.749999999999982,0.9863068161768769,0.14648160948611666,8.832242835730762,3.5813548817879983
36,rotate_translate,0.0,10,True,5.449999999999989,4.799999999999977,0.9866355598558749,0.13902224957903356,9.604015386660778,2.869136290712322
37,rotate_translate,0.0,11,True,5.549999999999988,3.2500000000000044,0.9863662213232158,0.13718427371286687,2.1571318249227964,5.493500761961035
38,rotate_translate,0.0,12,True,6.199999999999986,4.5499999999999865,0.9866922858130747,0.1144406339866941,3.257420122976015,9.520776485734821
39,rotate_translate,0.0,13,True,5.249999999999989,4.500000000000008,0.9861414558716487,0.14545080159887158,8.78317828314928,8.69772263438853
40,rotate_translate,0.0,14,True,3.649999999999995,3.1499999999999924,0.9858412573254496,0.12566004113259557,8.478849870002003,4.248520001508309
41,rotate_translate,0.0,15,True,4.149999999999993,3.249999999999991,0.9868430906147468,0.12264384991692344,7.2346903116863714,8.342354002024518
42,rotate_translate,0.0,16,True,5.949999999999987,3.8500000000000063,0.9862661203647249,0.10368643635787439,1.8466644291537209,4.1327159539239595
43,rotate_translate,0.0,17,True,5.09999999999999,4.300000000000011,0.9859765079460355,0.11406771380880897,8.605673135181114,2.448757820521963
44,rotate_translate,0.0,18,True,5.749999999999988,4.15,0.9862016430058582,0.1492803331911856,3.5274099523240308,1.744524261983047
45,rotate_translate,0.0,19,True,5.299999999999989,3.850000000000004,0.9863196496910532,0.10190556068719954,4.783409161563347,9.332824103350333
46,rotate_translate,0.0,20,True,5.649999999999988,3.3499999999999996,0.9861232571004924,0.10708489741266952,2.095477233187977,5.703475165470392
47,rotate_translate,0.0,21,True,5.09999999999999,4.099999999999996,0.9868458760551695,0.10621139060770139,7.388210713675827,1.8018808562998805
48,rotate_translate,0.0,22,True,5.999999999999987,3.9000000000000075,0.9862473184127225,0.10495224306567222,1.7970253593515102,6.878725188408279
49,rotate_translate,0.0,23,True,6.549999999999985,4.749999999999997,0.9859314059872265,0.1394032647900921,2.157798018858726,2.023372451181964
50,rotate_translate,0.0,24,True,5.799999999999987,4.9500000000000215,0.9861715802193037,0.137538079628328,8.86704878116667,1.7778741489187575
51,proportional,0.1,0,True,5.04999999999999,6.426725685724643,0.9112021667758656,0.1439967520511673,1.368761715425752,1.1487487197567618
52,proportional,0.1,1,True,3.699999999999995,4.424481311771724,0.8852413367527643,0.13883534531970557,5.606394622302311,9.554173266933418
53,proportional,0.1,2,True,3.349999999999996,4.702655278621993,0.9554936799525373,0.14203940958655778,8.328031665348522,1.827243479215872
54,proportional,0.1,3,True,4.249999999999993,4.839105582996383,0.8847971198398619,0.13622133354227256,1.7708425042926192,3.131294559364897
55,proportional,0.1,4,True,3.099999999999997,3.8598819886464573,0.9998168737935766,0.12963283888532734,9.487504950151308,5.601947975329255
56,proportional,0.1,5,True,3.2499999999999964,3.9093337719384817,0.9624232928972974,0.1383608310032172,8.245026313708422,8.271467107628443
57,proportional,0.1,6,True,3.399999999999996,4.4257809201915395,0.9970745198089968,0.13396488952653066,9.887004911678199,6.694806453464315
58,proportional,0.1,7,True,3.4499999999999957,4.025785173912443,0.8944128446393326,0.1473044451505773,6.625859199442003,9.074924208726179
59,proportional,0.1,8,True,3.999999999999994,5.002293990663916,0.9004148571781114,0.14962880758700783,3.9427504894500465,9.88549159004133
60,proportional,0.1,9,True,3.049999999999997,3.779635475261328,0.9823166962138867,0.13233313719787593,8.832242835730762,3.5813548817879983
61,proportional,0.1,10,True,3.899999999999994,4.795761665914461,0.9864859349102236,0.14392150628097194,9.604015386660778,2.869136290712322
62,proportional,0.1,11,True,3.949999999999994,3.843206704776522,0.8371168878185216,0.1256612570675251,2.1571318249227964,5.493500761961035
63,proportional,0.1,12,True,4.199999999999993,5.020531723087637,0.887916029668912,0.14607994004537464,3.257420122976015,9.520776485734821
64,proportional,0.1,13,True,3.2999999999999963,4.575065939285596,0.9696987868593199,0.14665146189466058,8.78317828314928,8.69772263438853
